Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Kundengleis Nr.;Perronkantenlänge;Perronkantenhöhe;Bemerkung Höhe;Hilfstritt;Höhenverlauf;Material;Bemerkung Material;Kantenart;Bemerkung Kantenkrone;Auftritt;ErfMandant;FID;1_koord;2_koord;BPUIC;lod
201;11.32;PT;Le Pont;Zwischenperron;2;2;73.28;P 20;;nicht vorhanden;nicht konstant;Fertigelement;;Andere;Element prefabrique;Kein;SBB;35328685;46.6684474478, 6.32452136407;46.6690960509,6.32469199823;8501100;http://lod.opentransportdata.swiss/didok/8501100
201;11.32;PT;Le Pont;Aussenperron;1;1;89.34;P 20;;nicht vorhanden;nicht konstant;Ortsbeton;;Naturstein;;Kein;SBB;35360474;46.6684411424, 6.32458211983;46.6692299759,6.32480456415;8501100;http://lod.opentransportdata.swiss/didok/8501100
210;24.936;BAV;Bavois;Aussenperron;2;2;26.04;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;SBB;136736768;46.6881521129, 6.55968181655;46.6883779903,6.55977207508;8501113;http://lod.opentransportdata.swiss/didok/8501113
210;27.45;CHV;Chavornay;Mittelperron;2/3;2;219.97;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;223517372;46.7099731113, 6.56830769132;46.7080638362,6.56755215896;8501112;http://lod.opentransportdata.swiss/didok/8501112
210;42.545;GRS;Grandson;Mittelperron;2/3;2 / 3;200.59;P 30;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35361460;46.8055134427, 6.64009082323;46.8063375475,6.64242553069;8504201;http://lod.opentransportdata.swiss/didok/8504201
210;47.4;ONB;Onnens-Bonvillars;Zwischenperron;3;;170.06;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35375337;46.8321276237, 6.68906162966;46.8329796949,6.69091285995;8504202;http://lod.opentransportdata.swiss/didok/8504202
210;57.819;GOR;Gorgier-St-Aubin;Mittelperron;2/3;2 / 3;162.13;P 20;;nicht vorhanden;konstant;Fertigelement;;Andere;Element prefabrique;Kein;SBB;35364159;46.89871508, 6.78023709698;46.8997222318,6.78177588175;8504205;http://lod.opentransportdata.swiss/didok/8504205
210;57.856;GOR;Gorgier-St-Aubin;Hausperron;1;1;16.01;P 25;;nicht vorhanden;nicht konstant;Ortsbeton;;Naturstein;;Kein;SBB;35340718;46.8988894241, 6.78066342455;46.8989929589,6.78080950966;8504205;http://lod.opentransportdata.swiss/didok/8504205
210;57.872;GOR;Gorgier-St-Aubin;Hausperron;1;1;129.7;P 55;;nicht vorhanden;konstant;Fertigelement;;Andere;Element prefabriqe;Andere;SBB;35324422;46.8989929589, 6.78080950966;46.8997985255,6.78204068352;8504205;http://lod.opentransportdata.swiss/didok/8504205
210;62.208;BV;Bevaix;Aussenperron;2;2;149.93;P 35;incl. 15cm HT;vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35353206;46.929158432, 6.81115772316;46.9303878166,6.81196711545;8504206;http://lod.opentransportdata.swiss/didok/8504206
