Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Kundengleis Nr.;Perronkantenlänge;Perronkantenhöhe;Bemerkung Höhe;Hilfstritt;Höhenverlauf;Material;Bemerkung Material;Kantenart;Bemerkung Kantenkrone;Auftritt;ErfMandant;FID;1_koord;2_koord;BPUIC;lod
100;4.966;LTY;Lutry;Aussenperron;2;2;130.89;P 42;;nicht vorhanden;konstant;Fertigelement;;Andere;Element prefabrique;Gitterrost;SBB;35328373;46.5043824114, 6.68950680326;46.5037738968,6.69096572685;8501122;http://lod.opentransportdata.swiss/didok/8501122
100;8.411;CU;Cully;Hausperron;1;1;171.95;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35337491;46.4880917479, 6.72586782355;46.488788598,6.72786553454;8501124;http://lod.opentransportdata.swiss/didok/8501124
100;13.474;RIV;Rivaz;Aussenperron;2;2;170.0;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;130630261;46.4739586794, 6.78363017959;46.4742775459,6.78579486493;8501126;http://lod.opentransportdata.swiss/didok/8501126
100;18.501;VV;Vevey;Mittelperron;2/4;2 / 4;41.54;P 20;V 4-5;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Andere;Granit;Kein;SBB;35339640;46.4626111709, 6.844697886;46.4623559412,6.84509286871;8501200;http://lod.opentransportdata.swiss/didok/8501200
100;19.788;TOUR;La Tour-de-Peilz;Aussenperron;2;2;206.07;P 30;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35356205;46.4562565958, 6.85857905754;46.4549608334,6.8604971049;8501201;http://lod.opentransportdata.swiss/didok/8501201
100;29.254;VIL;Villeneuve VD;Hausperron;1;1;176.19;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35330138;46.3991592653, 6.92703581601;46.3975743457,6.92705167658;8501303;http://lod.opentransportdata.swiss/didok/8501303
100;33.742;ROC;Roche VD;Hausperron;1;1;244.01;P 25;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35311484;46.3594941226, 6.92645918007;46.3575183511,6.92784036869;8501304;http://lod.opentransportdata.swiss/didok/8501304
100;39.138;AIG;Aigle;Mittelperron;2/3;2 / 3;325.34;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35312494;46.3182665896, 6.96267298868;46.3155179146,6.96411942361;8501400;http://lod.opentransportdata.swiss/didok/8501400
100;39.446;AIG;Aigle;;;1;30.89;P 25;;nicht vorhanden;auslaufend;Fertigelement;;Beton;;Kein;SBB;273701029;46.3157019724, 6.96418459574;46.3154433478,6.96432695488;8501400;http://lod.opentransportdata.swiss/didok/8501400
100;51.392;SM;St-Maurice;Mittelperron;2/3;2;429.14;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;48982049;46.2179207311, 7.00203563806;46.2140738331,7.00204760759;8501403;http://lod.opentransportdata.swiss/didok/8501403
100;57.789;EV;Evionnaz;Aussenperron;2;2;150.09;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35316201;46.1698489441, 7.02539872022;46.1685621073,7.0259866153;8501404;http://lod.opentransportdata.swiss/didok/8501404
100;66.291;MA;Martigny;Hausperron;1;1;120.34;P 42;;nicht vorhanden;konstant;Ortsbeton;;Andere;elements prefabriques;Kein;SBB;35332088;46.1062024126, 7.07650681704;46.1060137795,7.078039136;8501500;http://lod.opentransportdata.swiss/didok/8501500
100;66.336;MA;Martigny;Hilfskante;20;;100.91;P 55;;nicht vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;TMR;35314232;46.1060554413, 7.077068312;46.1058759838,7.07834753657;8501500;http://lod.opentransportdata.swiss/didok/8501500
100;66.411;MA;Martigny;Hausperron;1;1;149.41;P 55;;nicht vorhanden;konstant;Ortsbeton;;Beton;elements prefabriques;Gitterrost;SBB;35330303;46.1060137795, 7.078039136;46.1059473162,7.07996692076;8501500;http://lod.opentransportdata.swiss/didok/8501500
100;82.031;CHA;Chamoson-St-Pierre-de-Clages;Aussenperron;2;2;150.22;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35310983;46.1883043159, 7.24018449271;46.1892417233,7.24158591243;8501504;http://lod.opentransportdata.swiss/didok/8501504
100;88.002;CHF;Chateauneuf-Conthey;Hausperron;1;1;152.68;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35323672;46.2158990821, 7.30428788853;46.2163040374,7.30617852752;8501510;http://lod.opentransportdata.swiss/didok/8501510
100;107.907;SIE;Sierre/Siders;Mittelperron;2/3;2;15.55;P 20;;nicht vorhanden;auslaufend;Ortsbeton;;Naturstein;;Kein;SBB;272349377;46.2909921278, 7.53038203457;46.2910752628,7.5305419025;8501509;http://lod.opentransportdata.swiss/didok/8501509
100;108.345;SIE;Sierre/Siders;Mittelperron;2/3;3;10.25;P 20;;nicht vorhanden;auslaufend;Ortsbeton;;Naturstein;;Kein;SBB;272349917;46.2929114818, 7.5353405775;46.2929594221,7.53545421121;8501509;http://lod.opentransportdata.swiss/didok/8501509
100;112.178;SAL;Salgesch;Hausperron;1;1;150.18;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35322923;46.3090960883, 7.57723620269;46.30943214,7.57912171373;8501600;http://lod.opentransportdata.swiss/didok/8501600
100;112.329;SAL;Salgesch;Hausperron;1;1;129.53;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35363392;46.30943214, 7.57912171373;46.3099163706,7.58064843345;8501600;http://lod.opentransportdata.swiss/didok/8501600
100;117.496;LK;Leuk;Aussenperron;2;2;406.63;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35338788;46.3123680356, 7.64263291386;46.3108114072,7.64740977714;8501601;http://lod.opentransportdata.swiss/didok/8501601
100;125.749;GA;Gampel-Steg;Mittelperron;3/4;3 / 4;260.02;P 30;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35340643;46.3064147696, 7.74607585688;46.307115363,7.74929609848;8501603;http://lod.opentransportdata.swiss/didok/8501603
100;129.955;RAR;Raron;Mittelperron;2/3;2;260.13;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;Granit;Kein;SBB;35348513;46.3062279078, 7.7997657066;46.3064741151,7.80312228242;8501604;http://lod.opentransportdata.swiss/didok/8501604
100;130.017;RAR;Raron;Aussenperron;1;;83.04;P 25;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;Granit;Kein;SBB;35332397;46.3062305853, 7.80057662005;46.306314106,7.80164765353;8501604;http://lod.opentransportdata.swiss/didok/8501604
100;136.508;VI;Visp;Mittelperron;4/5;5;430.32;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35365072;46.2941380135, 7.87950810303;46.2940145754,7.8850896119;8501605;http://lod.opentransportdata.swiss/didok/8501605
100;145.815;BR;Brig;Mittelperron;6/7;6 / 7;358.6;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35320801;46.3198569944, 7.99144597084;46.3198473291,7.98679204016;8501609;http://lod.opentransportdata.swiss/didok/8501609
107;145.451;BR;Brig;Mittelperron;6/7;6 / 7;357.9;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35345328;46.3197919755, 7.98679249524;46.3198095293,7.99143737373;8501609;http://lod.opentransportdata.swiss/didok/8501609
111;0.798;VV;Vevey;Aussenperron;1;1;68.42;P 55;;nicht vorhanden;konstant;Fertigelement;;Andere;Element prefabrique;Kein;SBB;35344441;46.4679187084, 6.83588346999;46.4684041922,6.83533647599;8501200;http://lod.opentransportdata.swiss/didok/8501200
111;5.564;CHX;Chexbres-Village;Aussenperron;1;1;82.48;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;240645513;46.4811596263, 6.77907059786;46.4810189572,6.77801730278;8504013;http://lod.opentransportdata.swiss/didok/8504013
131;26.755;STGI;St-Gingolph (Suisse);Aussenperron;1;1;155.88;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35369389;46.3919317781, 6.80645749714;46.3928429885,6.80491784922;8501428;http://lod.opentransportdata.swiss/didok/8501428
150;0.111;LS;Lausanne;Mittelperron;7/8;8;272.04;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35341770;46.5166761952, 6.62751876172;46.5161247757,6.63096757276;8501120;http://lod.opentransportdata.swiss/didok/8501120
150;0.195;LS;Lausanne;Mittelperron;3/4;4;353.83;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35356921;46.5171552791, 6.62659296956;46.516353059,6.63104826615;8501120;http://lod.opentransportdata.swiss/didok/8501120
150;2.244;PRMA;Prilly-Malley;Aussenperron;1;1;219.91;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;59903559;46.5261697129, 6.6038606524;46.5270357791,6.60128493681;8518452;http://lod.opentransportdata.swiss/didok/8518452
150;4.331;REN;Renens VD;Mittelperron;2/3 (2);;420.54;P 55;;nicht vorhanden;;Fertigelement;;Beton;;Kein;SBB;254269994;46.5362867921, 6.58102321702;46.5385366968,6.57661664432;8501118;http://lod.opentransportdata.swiss/didok/8501118
150;10.087;LON;Lonay-Preverenges;Aussenperron;2;2;154.15;P 30;;nicht vorhanden;konstant;Fertigelement;;Andere;Element prefabrique;Kein;SBB;35318204;46.52327421, 6.51997281427;46.52258616,6.5182287773;8501048;http://lod.opentransportdata.swiss/didok/8501048
150;12.269;MOR;Morges;Mittelperron;2/3;2;335.61;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;207702333;46.5125836384, 6.49615229697;46.5105779851,6.49288449758;8501037;http://lod.opentransportdata.swiss/didok/8501037
150;12.689;MOR;Morges;Mittelperron;2/3;3;89.32;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35353956;46.510080453, 6.49205363385;46.5106446921,6.49287907;8501037;http://lod.opentransportdata.swiss/didok/8501037
150;14.81;TOL;Tolochenaz;Aussenperron;2;;186.79;P 30;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;224798582;46.4962861543, 6.47421061455;46.4972857998,6.4761618359;8501046;http://lod.opentransportdata.swiss/didok/8501046
150;16.921;STP;St-Prex;Hausperron;1;1;151.42;P 30;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;263107312;46.4822846219, 6.45580469527;46.4812349495,6.454550811;8501036;http://lod.opentransportdata.swiss/didok/8501036
150;19.267;ETOY;Etoy;Aussenperron;1;1;13.61;<=P20;15;nicht vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;SBB;35313824;46.4749784435, 6.42817106504;46.4749973138,6.42799599985;8501042;http://lod.opentransportdata.swiss/didok/8501042
150;21.376;ALL;Allaman;Hausperron;1;1;239.4;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35350069;46.4759861147, 6.40101353155;46.4753237761,6.39804763065;8501035;http://lod.opentransportdata.swiss/didok/8501035
150;21.377;ALL;Allaman;Mittelperron;2/3;2 / 3;240.52;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35333936;46.4759175276, 6.40103237437;46.4752495141,6.39805387678;8501035;http://lod.opentransportdata.swiss/didok/8501035
150;21.587;ALL;Allaman;Mittelperron;2/3;3;210.15;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35358236;46.4752775388, 6.3984559224;46.4758919515,6.40104326938;8501035;http://lod.opentransportdata.swiss/didok/8501035
150;33.592;GLA;Gland;Hausperron;1;1;319.99;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;211699714;46.4214095324, 6.27067625781;46.4190628542,6.26826576329;8501031;http://lod.opentransportdata.swiss/didok/8501031
150;36.947;PRN;Prangins;Hausperron;1;;193.8;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;224805599;46.3967122519, 6.24570441917;46.3953911634,6.2440603266;8501040;http://lod.opentransportdata.swiss/didok/8501040
150;38.261;NY;Nyon;Mittelperron;2/3;2 / 3;57.85;P 30;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Beton;Elem. prefabrique;Kein;SBB;35373369;46.3863485585, 6.23801778216;46.3859361207,6.23756127945;8501030;http://lod.opentransportdata.swiss/didok/8501030
150;38.338;NY;Nyon;Hausperron;1;1;318.78;P 55;;nicht vorhanden;konstant;Ortsbeton;;Beton;Elem. prefabrique;Gitterrost;SBB;35341309;46.385755409, 6.23748627767;46.3835426077,6.2348505464;8501030;http://lod.opentransportdata.swiss/didok/8501030
150;38.664;NY;Nyon;Mittelperron;2/3;3;16.2;<=P20;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Naturstein;;Kein;SBB;262916722;46.3835567908, 6.23468177406;46.3834388653,6.23456112482;8501030;http://lod.opentransportdata.swiss/didok/8501030
150;41.841;CRA;Crans VD;Aussenperron;2;;154.2;P 25;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;SBB;35330004;46.3593861867, 6.21296479952;46.3583028028,6.21179713614;8501017;http://lod.opentransportdata.swiss/didok/8501017
150;53.89;CRGD;Creux-de-Genthod;Aussenperron;1;;379.02;P 20;;nicht vorhanden;;Mauerwerk;;Naturstein;;Kein;SBB;243663369;46.2630550598, 6.16076530515;46.2645270829,6.16180582797;8501012;http://lod.opentransportdata.swiss/didok/8501012
150;56.671;CHY;Chambesy;Mittelperron;1/2;2;219.98;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;200290093;46.2419307429, 6.14742672459;46.2399547686,6.14727341443;8501020;http://lod.opentransportdata.swiss/didok/8501020
150;59.852;GE;Geneve;Hausperron;1;1;206.46;P 25;;nicht vorhanden;Karrenueberfahrten;Mauerwerk;;Naturstein;;Kein;SBB;35311837;46.2134990964, 6.14485328516;46.2117582001,6.14392452962;8501008;http://lod.opentransportdata.swiss/didok/8501008
150;60.001;GE;Geneve;Mittelperron;4/5/6;;30.68;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35355419;46.2122929417, 6.14396895056;46.2120378843,6.14382022092;8501008;http://lod.opentransportdata.swiss/didok/8501008
150;60.061;GE;Geneve;Mittelperron;2/3;3;376.86;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35347872;46.2117735937, 6.14374655352;46.2090833175,6.14078121944;8501008;http://lod.opentransportdata.swiss/didok/8501008
150;60.125;GE;Geneve;Hausperron;1;1;273.19;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35327282;46.2112167413, 6.14346570006;46.209299309,6.14126742744;8501008;http://lod.opentransportdata.swiss/didok/8501008
150;65.962;GEAP;Geneve-Aeroport;Dienstperron;2;;451.25;P 42;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;SBB;35353923;46.2311543276, 6.11002444845;46.2340355237,6.11414038729;8501026;http://lod.opentransportdata.swiss/didok/8501026
150;65.97;GEAP;Geneve-Aeroport;Mittelperron;3/4;4;432.82;P 42;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;SBB;35338000;46.2311618198, 6.11018784748;46.2339115226,6.11414218981;8501026;http://lod.opentransportdata.swiss/didok/8501026
150;66.436;GEAP;Geneve-Aeroport;Dienstperron;3A;;155.64;<=P20;115;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;SBB;35362468;46.2341378958, 6.11439852614;46.2351834196,6.11573477183;8501026;http://lod.opentransportdata.swiss/didok/8501026
152;65.082;GEPR;Geneve-La-Praille;Aussenperron;1;1;232.28;P 55;;nicht vorhanden;Karrenueberfahrten;Fertigelement;;Beton;;Gitterrost;SBB;35360237;46.1783398004, 6.12600558583;46.1762791722,6.12640149882;8501009;http://lod.opentransportdata.swiss/didok/8501009
152;68.876;CHHO;Geneve-Champel;Zwischenperron;1;1;218.29;P 55;;nicht vorhanden;konstant;Andere;;Andere;;Kein;SBB;232887397;46.1912436939, 6.15313223545;46.1930414562,6.15421919611;8516272;http://lod.opentransportdata.swiss/didok/8516272
158;60.003;GE;Geneve;Mittelperron;7/8;8;9.07;P 35;0-35;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Beton;;Kein;SBB;35353019;46.2122287819, 6.1435884035;46.2121628764,6.14351909707;8501008;http://lod.opentransportdata.swiss/didok/8501008
200;6.867;BY;Bussigny;Hausperron;1;1;150.12;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35343349;46.5472546155, 6.55244392686;46.5480223344,6.550833866;8501117;http://lod.opentransportdata.swiss/didok/8501117
200;11.01;VU;Vufflens-la-Ville;Aussenperron;2;2;31.93;<=P20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;267200063;46.5765631553, 6.53059513166;46.5768496165,6.53056535803;8501116;http://lod.opentransportdata.swiss/didok/8501116
200;14.378;COS;Cossonay-Penthalaz;Mittelperron;2/3;2 / 3;182.64;P 30;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Naturstein;;Kein;SBB;35320030;46.6050864753, 6.52414846566;46.606688666,6.52362432986;8501115;http://lod.opentransportdata.swiss/didok/8501115
200;35.752;BRT;Bretonnieres;Aussenperron;1;1;150.03;P 30;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;SBB;35355030;46.7144250632, 6.47483601782;46.7157651207,6.47467127786;8501105;http://lod.opentransportdata.swiss/didok/8501105
200;43.098;DAY;Le Day;Mittelperron;2;2;149.4;P 20;;nicht vorhanden;nicht konstant;Mauerwerk;;Naturstein;;Kein;SBB;35318345;46.7169221599, 6.40138315298;46.7180879242,6.40041093116;8501104;http://lod.opentransportdata.swiss/didok/8501104
200;43.11;DAY;Le Day;Hausperron;1;1;31.42;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35354415;46.716983025, 6.40122572453;46.716748677,6.40145536036;8501104;http://lod.opentransportdata.swiss/didok/8501104
203;461.522;VAL;Vallorbe;Mittelperron;4/5;4;64.14;P 25;;nicht vorhanden;Karrenueberfahrten;Mauerwerk;;Naturstein;;Kein;SBB;35368915;46.7121003235, 6.36915171372;46.7124356638,6.36983427921;8501103;http://lod.opentransportdata.swiss/didok/8501103
203;461.522;VAL;Vallorbe;Mittelperron;3/4;4;421.72;P 25;;nicht vorhanden;Karrenueberfahrten;Mauerwerk;;Naturstein;;Kein;SBB;35344570;46.7120724843, 6.36917325832;46.7143250459,6.37361056547;8501103;http://lod.opentransportdata.swiss/didok/8501103
210;32.584;EP;Ependes VD;Aussenperron;1;1;25.99;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;185207768;46.7458173747, 6.60641683601;46.7459670948,6.60667802542;8501110;http://lod.opentransportdata.swiss/didok/8501110
210;32.61;EP;Ependes VD;Aussenperron;1;1;123.45;P 35;Y compris 15 cm marche aux.;vorhanden;konstant;Fertigelement;;Andere;Element prefabrique;Kein;SBB;35370803;46.7459670948, 6.60667802542;46.7466763442,6.60791576348;8501110;http://lod.opentransportdata.swiss/didok/8501110
210;38.968;YV;Yverdon-les-Bains;Hausperron;1;1;42.64;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;239554930;46.7810397422, 6.64299537557;46.7811747738,6.64247278558;8504200;http://lod.opentransportdata.swiss/didok/8504200
210;39.012;YV;Yverdon-les-Bains;Mittelperron;2/3;2;14.31;P 20;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Naturstein;;Kein;SBB;239554919;46.7812494112, 6.64249578951;46.781294686,6.642320427;8504200;http://lod.opentransportdata.swiss/didok/8504200
210;39.026;YV;Yverdon-les-Bains;Mittelperron;2/3;2;346.04;P 55;;nicht vorhanden;konstant;Mauerwerk;;Beton;Element prefabrique;Andere;SBB;35345699;46.781294686, 6.642320427;46.7824865573,6.63814219409;8504200;http://lod.opentransportdata.swiss/didok/8504200
210;39.194;YV;Yverdon-les-Bains;Zwischenperron;5;;97.12;<=P20;P 15;nicht vorhanden;konstant;Fertigelement;Beton;Beton;Element prefabrique;Kein;SBB;35311032;46.7816293193, 6.64015291371;46.7819365311,6.63896239467;8504200;http://lod.opentransportdata.swiss/didok/8504200
210;39.326;YV;Yverdon-les-Bains;Mittelperron;2/3;3;16.31;P 35;;nicht vorhanden;Karrenueberfahrten;Fertigelement;;Beton;;Andere;SBB;239555126;46.7823326486, 6.63870886743;46.7823879793,6.63851104665;8504200;http://lod.opentransportdata.swiss/didok/8504200
210;47.458;ONB;Onnens-Bonvillars;Hausperron;1;;56.65;P 25;;nicht vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;SBB;35315319;46.8325191934, 6.68960172651;46.8328032405,6.69021818771;8504202;http://lod.opentransportdata.swiss/didok/8504202
210;50.672;CC;Concise;Aussenperron;2;2;156.15;P 35;;nicht vorhanden;konstant;Fertigelement;Beton;Beton;Element prefabrique - Beton;Kein;SBB;35363264;46.850447678, 6.72232507622;46.8513449963,6.72390022436;8504203;http://lod.opentransportdata.swiss/didok/8504203
210;54.72;VAU;Vaumarcus;Hausperron;1;1;150.09;P 42;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35322760;46.8765753386, 6.75676670126;46.8777810864,6.75765176321;8504204;http://lod.opentransportdata.swiss/didok/8504204
210;57.819;GOR;Gorgier-St-Aubin;Mittelperron;2/3;2 / 3;162.23;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35372412;46.8987536144, 6.78018201609;46.8997487008,6.78173904669;8504205;http://lod.opentransportdata.swiss/didok/8504205
210;62.273;BV;Bevaix;Hausperron;1;1;149.64;P 35;incl. 15cm HT;vorhanden;nicht konstant;Ortsbeton;;Naturstein;;Kein;SBB;35321276;46.9296635072, 6.81159952521;46.930891726,6.81240360423;8504206;http://lod.opentransportdata.swiss/didok/8504206
210;67.609;CLB;Colombier NE;Mittelperron;2/3;2 / 3;158.56;P 20;;nicht vorhanden;nicht konstant;Mauerwerk;;Naturstein;;Kein;SBB;35347978;46.9673077153, 6.84823225599;46.9683613003,6.84962569254;8504209;http://lod.opentransportdata.swiss/didok/8504209
210;67.626;CLB;Colombier NE;Hausperron;1;1;98.53;P 20;;vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;SBB;35323920;46.9673662264, 6.84849460484;46.9680366041,6.8493396814;8504209;http://lod.opentransportdata.swiss/didok/8504209
210;72.341;NESE;Neuchatel-Serrieres;Aussenperron;2;2;150.17;P 25;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35320094;46.9836351026, 6.90290937008;46.9843703526,6.90456504115;8504220;http://lod.opentransportdata.swiss/didok/8504220
210;72.349;NESE;Neuchatel-Serrieres;Hausperron;1;1;31.99;<=P20;;nicht vorhanden;nicht konstant;Ortsbeton;;Naturstein;;Kein;SBB;35360654;46.9837229233, 6.90294186533;46.9838853578,6.90328889743;8504220;http://lod.opentransportdata.swiss/didok/8504220
210;75.096;NE;Neuchatel;Mittelperron;2/3;2 / 3;129.78;P 42;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Andere;Acier;Kein;SBB;35372502;46.9960904501, 6.93323693071;46.996602972,6.93476959236;8504221;http://lod.opentransportdata.swiss/didok/8504221
210;75.115;NE;Neuchatel;Mittelperron;4/5;4 / 5;110.08;P 35;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Andere;Acier;Kein;SBB;35367914;46.9962203395, 6.93342981353;46.9966637582,6.93472377957;8504221;http://lod.opentransportdata.swiss/didok/8504221
210;75.232;NE;Neuchatel;Mittelperron;6/7;7;187.99;P 55;;nicht vorhanden;;Fertigelement;;Beton;;Gitterrost;SBB;271922861;46.9968295476, 6.93470276075;46.997599831,6.93689815853;8504221;http://lod.opentransportdata.swiss/didok/8504221
210;79.28;SBL;St-Blaise CFF;Aussenperron;2;2;150.12;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;SBB;35365154;47.0144695264, 6.98096057713;47.0148447962,6.98285716862;8504222;http://lod.opentransportdata.swiss/didok/8504222
210;83.603;CORN;Cornaux NE;Hausperron;1;2 / 3;220.48;P 30;;nicht vorhanden;Karrenueberfahrten;Fertigelement;;Beton;;Kein;SBB;35368561;47.0385374099, 7.02355681055;47.0403857717,7.02460785573;8504223;http://lod.opentransportdata.swiss/didok/8504223
210;83.603;CORN;Cornaux NE;Hausperron;1;2 / 3;220.72;P 25;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;35336050;47.0385111483, 7.02364725011;47.0403734905,7.02465182022;8504223;http://lod.opentransportdata.swiss/didok/8504223
210;87.587;LD;Le Landeron;Hausperron;1;1;79.85;<=P20;Y compris 15 cm marche aux.;vorhanden;nicht konstant;Fertigelement;;Beton;;Kein;SBB;35363956;47.0565424033, 7.06461078941;47.056608712,7.06565705774;8504225;http://lod.opentransportdata.swiss/didok/8504225
210;87.666;LD;Le Landeron;Hausperron;1;1;102.47;P 30;;nicht vorhanden;nicht konstant;Mauerwerk;;Naturstein;;Kein;SBB;35371932;47.056608712, 7.06565705774;47.0567766995,7.06698259373;8504225;http://lod.opentransportdata.swiss/didok/8504225
210;90.132;NV;La Neuveville;Aussenperron;2;2;115.71;P 20;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;SBB;35368544;47.0630804796, 7.09629040622;47.0635729454,7.09763225142;8504226;http://lod.opentransportdata.swiss/didok/8504226
210;95.857;TWN;Twann;Mittelperron;2/3;2 / 3;239.73;P 30;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35361960;47.0929299307, 7.15534319259;47.0941738449,7.15791928547;8504228;http://lod.opentransportdata.swiss/didok/8504228
210;99.909;TUE;Tuscherz;Hausperron;1;1;7.1;P 20;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;SBB;267199175;47.1147973013, 7.19694476678;47.1148422187,7.19701132783;8504229;http://lod.opentransportdata.swiss/didok/8504229
210;104.332;BI;Biel/Bienne;Mittelperron;4/5;5;44.27;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;251809790;47.1332175475, 7.24068427173;47.1330382632,7.24120533077;8504300;http://lod.opentransportdata.swiss/didok/8504300
219;5.097;AUV;Auvernier;Mittelperron;2/3;2 / 3;196.79;P 25;;nicht vorhanden;konstant;Mauerwerk;;Naturstein;;Kein;SBB;35355969;46.9796254224, 6.8761657653;46.9798287627,6.8787230497;8504219;http://lod.opentransportdata.swiss/didok/8504219
219;13.593;CDM;Champ-du-Moulin;Zwischenperron;2;2;120.74;P 20;;nicht vorhanden;Karrenueberfahrten;Fertigelement;;Beton;;Kein;SBB;35328728;46.9598898939, 6.77568778417;46.9598180573,6.77411189378;8504217;http://lod.opentransportdata.swiss/didok/8504217
219;13.639;CDM;Champ-du-Moulin;Hausperron;1;1;93.73;P 20;;nicht vorhanden;Karrenueberfahrten;Fertigelement;;Beton;;Kein;SBB;35324199;46.9598612386, 6.7750867785;46.9598711862,6.77385836687;8504217;http://lod.opentransportdata.swiss/didok/8504217
219;25.999;CVT;Couvet CFF;Hausperron;1;1;109.03;P 20;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Naturstein;;Kein;SBB;35360863;46.9304957064, 6.63458621174;46.9300520453,6.63331038336;8504214;http://lod.opentransportdata.swiss/didok/8504214
